time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-11-06T22:33:06.580Z,38.7685013,-122.7131653,2.58,0.95,md,10,119,0.005725,0.04,nc,nc72336475,2014-11-06T22:41:08.143Z,"3km ESE of The Geysers, California",earthquake
2014-11-06T22:32:45.300Z,19.25,-64.4964,35,3.2,Md,7,298.8,0.83543321,0.12,pr,pr14310004,2014-11-07T06:35:34.248Z,"93km N of Road Town, British Virgin Islands",earthquake
2014-11-06T22:29:16.903Z,40.833,-118.9813,0,2.23,ml,4,208.11,0.853,2.0964,nn,nn00466529,2014-11-07T04:23:18.380Z,"43km NE of Gerlach-Empire, Nevada",earthquake
2014-11-06T22:23:34.142Z,41.9209,-119.7141,0,2.54,ml,4,141.49,0.439,0.3681,nn,nn00466528,2014-11-07T06:26:00.235Z,"60km ESE of Lakeview, Oregon",earthquake
2014-11-06T22:17:31.450Z,38.7676659,-122.7123337,2.42,1.19,md,14,125,0.00678,0.05,nc,nc72336460,2014-11-07T02:42:04.292Z,"3km ESE of The Geysers, California",earthquake
2014-11-06T22:15:26.410Z,38.7675018,-122.7096634,2.6,0.81,md,10,67,0.008145,0.03,nc,nc72336455,2014-11-06T23:15:05.474Z,"4km ESE of The Geysers, California",earthquake
2014-11-06T22:13:30.450Z,0.1895,97.3196,31.27,4.5,mb,,185,1.136,0.88,us,usc000sv77,2014-11-07T06:16:07.621Z,"235km NW of Sikabaluan, Indonesia",earthquake
2014-11-06T22:10:02.300Z,41.8623,-119.6798,0,2.4,Md,,212.4,0.46712395,0.54,uw,uw60919381,2014-11-06T22:57:59.425Z,"66km ESE of Lakeview, Oregon",earthquake
2014-11-06T22:06:58.900Z,38.8208351,-122.7648315,2.5,1.79,md,35,50,0.01041,0.04,nc,nc72336440,2014-11-07T02:12:04.812Z,"3km W of Cobb, California",earthquake
2014-11-06T22:05:30.020Z,38.8501663,-122.7406693,2.51,2.16,md,14,220,0.03059,0.22,nc,nc72336435,2014-11-07T06:07:58.847Z,"3km NNW of Cobb, California",earthquake
2014-11-06T22:05:26.820Z,38.8198318,-122.7946701,3.55,2.3,md,24,56,0.01186,0.02,nc,nc72336430,2014-11-07T06:07:53.009Z,"5km NW of The Geysers, California",earthquake
